035__a-2	Link
383894	https://shop.un.org/de/node/36839
399517	https://shop.un.org/de/node/32202
429314	https://shop.un.org/books/issues-market-based-natural-gas-33292
437834	https://shop.un.org/ru/node/33423
605036	https://shop.un.org/de/node/32837
607769	https://shop.un.org/books/transport-bulletin-no9-34181
610401	https://shop.un.org/books/review-industry-escwa-member-23948
610983	https://shop.un.org/books/trade-investment-complementari-33854
611759	https://shop.un.org/books/disarmament-world-critic-34051
616136	https://shop.un.org/books/multi-treat-depo-sec-gen-1999-24162
619115	https://shop.un.org/series/studies-trade-and-investment?page=1
623232	https://shop.un.org/books/commercialization-renewable-ene-23701
627945	https://shop.un.org/zh/node/23799
631539	https://shop.un.org/ar/node/24174
631711	https://shop.un.org/books/technology-needs-lake-mngmt-23816
632170	https://shop.un.org/books/un-east-timor-self-determination-26176
635649	https://shop.un.org/books/polish-experience-transition-34206
636487	https://shop.un.org/books/principles-practices-water-alloc-40309
639345	https://shop.un.org/books/sexually-abused-sexually-explo-23712
640247	https://shop.un.org/zh/node/23775
642057	https://shop.un.org/books/review-transport-escwa-membe-24075
646579	https://shop.un.org/books/oilcakes-meals-market-challenges-24055
652676	https://shop.un.org/books/old-sins-industrial-metabolism-23769
655601	https://shop.un.org/es/node/41141
656560	https://shop.un.org/books/manufacture-narcotic-drugs-psy-24304
656906	https://shop.un.org/books/review-industry-escwa-member-24544
657951	https://shop.un.org/books/unctad-handbook-statistics-24638
663987	https://shop.un.org/pt/node/23683
665176	https://shop.un.org/books/we-peoples-role-un-24537
665320	https://shop.un.org/books/unctad-handbook-statistics-2001-24731
672943	https://shop.un.org/books/natl-acct-stats-1998-main-agg-24748
674600	https://shop.un.org/books/population-issues-brfing-kit-2001-24340
685312	https://shop.un.org/books/road-development-environme-23703
685338	https://shop.un.org/books/social-aspects-intl-labour-24443
685839	https://shop.un.org/books/monitoring-reproductive-health-23873
689461	https://shop.un.org/de/node/25336
692423	https://shop.un.org/books/training-manual-increasing-24865
692998	https://shop.un.org/books/eur-agrmt-intl-carr-adr-2003-25091
695445	https://shop.un.org/books/rebuilding-effective-gov-local-24222
703089	https://shop.un.org/books/silk-review-2001-survey-intl-trend-25176
703785	https://shop.un.org/books/natl-acct-stats-2000-main-agg-25285
711526	https://shop.un.org/books/youth-policy-formulation-manual-23689
711527	https://shop.un.org/books/youth-participation-manual-23688
718658	https://shop.un.org/books/responding-citizens-needs-24838
934102	https://shop.un.org/books/private-sector-asean-business-33864
945651	https://shop.un.org/pt/node/32935
950487	https://shop.un.org/zh/node/32432
1013106	https://shop.un.org/books/monitoring-imports-ozone-deplet-33010
465915	https://shop.un.org/books/undp-poverty-rpt-1998-33813
462537	https://shop.un.org/pt/node/33849
472200	https://shop.un.org/pt/node/33862
